"Domain","MBFC factual","Site Rank","Year online","Name","Media Bias/Fact Check URL","Wikipedia","MBFC","lang","MisinfoMe","Logically","Our.news","URL","✓"
"100percentfedup.com","low","101963","","100 Percent Fed Up","https://mediabiasfactcheck.com/100-percent-fed-up/","","FN","en","-0.9","low","Problematic","https://100percentfedup.com/","↗"
"10news.one","low","2688331","","10News.one","https://mediabiasfactcheck.com/10news-one/","","FN","en","0.0","low","","https://www.10news.one/","↗"
"12minutos.com","low","330294","","12minutos.com","https://mediabiasfactcheck.com/12minutos-com/","","FN","es","-1.0","low","Problematic","https://www.12minutos.com/","↗"
"2020electioncenter.com","very-low","2542","2020","Banned.Video","https://mediabiasfactcheck.com/2020electioncenter-com-bias/","","CP","en","0.6","low","","https://2020electioncenter.com/","↗"
"24jours.com","low","438149","2017","24jours.com","https://mediabiasfactcheck.com/24jours-com/","","FN","fr","0.3","unknown","Problematic","https://www.24jours.com/","↗"
"4chan.org","very-low","1075","2004","4Chan","https://mediabiasfactcheck.com/4chan-bias/","https://en.wikipedia.org/wiki/4chan","FN","en","0.7","unknown","Problematic","https://4chan.org/","↗"
"79days.news","very-low","75838","2020","Banned.video","https://mediabiasfactcheck.com/79days-news/","","CP","en","-1.0","unknown","","https://79days.news/","↗"
"911truth.org","low","900437","2003","911Truth.org","https://mediabiasfactcheck.com/911truth-org/","","CP","en","0.4","low","Problematic","https://911truth.org/","↗"
"aapsonline.org","low","266505","1998","Association of American Physicians and Surgeons","https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/","https://en.wikipedia.org/wiki/Association_of_American_Physicians_and_Surgeons","FN","en","-0.6","low","Unverified","https://aapsonline.org/","↗"
"abovetopsecret.com","low","25965","1997","Above Top Secret","https://mediabiasfactcheck.com/above-top-secret/","","CP","en","0.2","low","Problematic","https://www.abovetopsecret.com/","↗"
"acallforanuprising.com","low","1148615","2015","A Call for an Uprising","https://mediabiasfactcheck.com/a-call-for-an-uprising/","","CP","en","-0.6","unknown","","https://www.acallforanuprising.com/","↗"
"actionnews3.com","very-low","1639157","2015","Action News 3","https://mediabiasfactcheck.com/action-news-3/","","FN","en","-0.9","low","Problematic","https://actionnews3.com/","↗"
"activistpost.com","low","65871","2010","Activist Post","https://mediabiasfactcheck.com/activist-post/","","CP","en","-0.8","low","Problematic","https://www.activistpost.com/","↗"
"adflegal.org","low","235690","","Alliance Defending Freedom","https://mediabiasfactcheck.com/alliance-defending-freedom/","https://en.wikipedia.org/wiki/Alliance_Defending_Freedom","FN","en","0.0","low","Problematic","https://adflegal.org/","↗"
"afa.net","low","258741","1996","American Family Association","https://mediabiasfactcheck.com/american-family-association/","https://en.wikipedia.org/wiki/American_Family_Association","FN","en","-0.7","low","Unverified","https://afa.net/","↗"
"afn.net","low","720540","1997","American Family News","https://mediabiasfactcheck.com/onenewsnow/","","FN","en","","unknown","","https://afn.net/","↗"
"aim4truth.org","very-low","199732","2017","American Intelligence Media","https://mediabiasfactcheck.com/american-intelligence-media/","","CP","en","0.0","low","Problematic","https://aim4truth.org/","↗"
"allnewspipeline.com","low","119886","2014","All News Pipeline","https://mediabiasfactcheck.com/all-news-pipeline/","","FN","en","-0.8","low","Problematic","https://allnewspipeline.com/","↗"
"alphanews.org","low","192676","2018","Alpha News","https://mediabiasfactcheck.com/alpha-news/","","FN","en","","unknown","","https://alphanews.org/","↗"
"alphanewsmn.com","low","316986","2015","Alpha News","https://mediabiasfactcheck.com/alpha-news/","","FN","en","0.0","low","","https://alphanewsmn.com/","↗"
"altermedzentrum.com","very-low","7521590","2018","Altermed Zentrum","https://mediabiasfactcheck.com/altermed-zentrum-bias/","","CP","de","-0.4","unknown","Problematic","https://altermedzentrum.com/","↗"
"alternativenews.com","low","2828101","1996","AlternativeNews.com","https://mediabiasfactcheck.com/alternativenews-com/","","CP","en","0.2","low","Problematic","https://alternativenews.com/","↗"
"althealthworks.com","low","411488","","AltHealth Works","https://mediabiasfactcheck.com/althealth-works/","","CP","en","0.6","low","Problematic","https://althealthworks.com/","↗"
"altleft.news","very-low","20000000","","AltLeft.News","https://mediabiasfactcheck.com/altleft-news-bias/","","CP","en","","low","","https://altleft.news/","↗"
"altrighttv.com","low","2501588","2016","Alt-Right TV","https://mediabiasfactcheck.com/alt-right-tv/","","FN","en","-0.1","low","","https://altrighttv.com/","↗"
